Wed Dec 13 20:59:34 2023    ./profiler_results/output.dat

         73923 function calls (73902 primitive calls) in 3.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    3.394    3.394 {built-in method builtins.exec}
        1    0.000    0.000    3.394    3.394 <string>:1(<module>)
        1    0.000    0.000    1.702    1.702 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:160(run)
        3    0.000    0.000    1.700    0.567 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:617(run_until_complete)
        1    0.000    0.000    1.700    1.700 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\runners.py:86(run)
        3    0.000    0.000    1.700    0.567 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\windows_events.py:317(run_forever)
        3    0.001    0.000    1.700    0.567 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:593(run_forever)
      650    0.011    0.000    1.698    0.003 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\base_events.py:1845(_run_once)
        1    0.000    0.000    1.692    1.692 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\app.py:13(__init__)
      656    0.003    0.000    1.671    0.003 C:\Users\domor\anaconda3\envs\mgl-py311-env\Lib\asyncio\events.py:78(_run)
      656    0.007    0.000    1.669    0.003 {method 'run' of '_contextvars.Context' objects}
      646    0.023    0.000    1.648    0.003 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\app.py:28(run)
      644    0.015    0.000    1.192    0.002 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\renderer.py:36(render)
      644    0.800    0.001    0.800    0.001 {method 'new_frame' of 'zengl.Context' objects}
        1    0.000    0.000    0.704    0.704 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\renderer.py:15(__init__)
        1    0.000    0.000    0.688    0.688 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\renderer.py:29(window_init)
        1    0.000    0.000    0.526    0.526 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\scene.py:11(__init__)
        1    0.000    0.000    0.526    0.526 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\world.py:13(__init__)
        4    0.000    0.000    0.526    0.131 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_obj.py:13(__init__)
        4    0.000    0.000    0.526    0.131 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:16(__init__)
        1    0.521    0.521    0.525    0.525 {built-in method pygame.base.init}
        1    0.000    0.000    0.461    0.461 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\assets_loader.py:7(__init__)
        1    0.000    0.000    0.461    0.461 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\assets_loader.py:10(load_images)
       33    0.461    0.014    0.461    0.014 {built-in method pygame.image.load}
        4    0.015    0.004    0.375    0.094 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:63(get_tex_array)
      644    0.244    0.000    0.244    0.000 {method 'blit' of 'zengl.Image' objects}
       33    0.199    0.006    0.199    0.006 {method 'write' of 'zengl.Image' objects}
        1    0.000    0.000    0.190    0.190 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\assets_loader.py:14(<listcomp>)
        1    0.161    0.161    0.164    0.164 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.159    0.159 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\assets_loader.py:18(<listcomp>)
       33    0.158    0.005    0.158    0.005 {built-in method pygame.image.tobytes}
      644    0.137    0.000    0.137    0.000 {built-in method pygame.display.set_caption}
        4    0.000    0.000    0.134    0.033 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:109(create_vao)
        4    0.132    0.033    0.134    0.033 {method 'pipeline' of 'zengl.Context' objects}
        1    0.000    0.000    0.117    0.117 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\app.py:41(exit)
        1    0.117    0.117    0.117    0.117 {built-in method pygame.base.quit}
      645    0.107    0.000    0.107    0.000 {built-in method pygame.event.get}
      644    0.004    0.000    0.094    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\scene.py:23(render)
     2576    0.003    0.000    0.090    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_obj.py:42(render)
     2576    0.010    0.000    0.087    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_pipeline.py:39(render)
      644    0.002    0.000    0.065    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\app.py:24(update)
     2576    0.011    0.000    0.055    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\shader_programs.py:108(update)
      644    0.009    0.000    0.034    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\controls.py:61(update)
      644    0.033    0.000    0.033    0.000 {built-in method pygame.display.flip}
     3874    0.030    0.000    0.030    0.000 {built-in method numpy.array}
      644    0.002    0.000    0.029    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\scene.py:16(update)
     2576    0.005    0.000    0.027    0.000 c:\Users\domor\Desktop\Python Projects\dec23\zengl_app\src\render_obj.py:38(update)
